"url_stazione","url_sensore","id_parametro","data_inizio_sensore","data_fine_sensore","quota_da_pc","altezza_supporto","note_sensore","copy_url_stazione","codice_istat_comune","codice_stazione","denominazione","indirizzo_localita","nazione","longitudine_e_wgs84_d","latitudine_n_wgs84_d","quota_stazione","esposizione","note","tipo_staz","data_inizio","data_fine","sigla_prov","comune","fk_id_punto_misura_meteo"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-001003-900-1993-07-22/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-001003-900-000TERMA-1993-07-22/","TERMA","1993-07-22","","0.0","3.08","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-001003-900-1993-07-22/","001003","250","ALA DI STURA","VIVAIO FORESTALE LA FABBRICA","ITALIA","7.31028","45.3125","1006","N","","HPT","1993-07-22","","TO","ALA DI STURA","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-001003-900/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-001010-900-1999-09-08/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-001010-900-000TERMA-1999-09-08/","TERMA","1999-09-08","","0.0","3.78","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-001010-900-1999-09-08/","001010","346","ANDRATE PINALBA","PINALBA","ITALIA","7.89222","45.56111","1580","SSE","","PRT","1999-09-09","","TO","ANDRATE","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-001010-900/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-001011-900-1999-08-05/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-001011-900-000TERMA-1999-08-05/","TERMA","1999-08-05","","0.0","3.58","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-001011-900-1999-08-05/","001011","353","VACCERA","VACCERA","ITALIA","7.20167","44.875","1435","S","","PT","1999-08-06","","TO","ANGROGNA","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-001011-900/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-001013-900-1991-01-09/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-001013-900-000TERMA-1991-01-09/","TERMA","1991-01-09","","0.0","1.68","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-001013-900-1991-01-09/","001013","142","AVIGLIANA","GRANGIA","ITALIA","7.39472","45.09389","340","N","","HPRTV","1991-01-09","","TO","AVIGLIANA","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-001013-900/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-001019-900-1987-09-25/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-001019-900-000TERMA-1987-09-25/","TERMA","1987-09-25","","0.0","6.0","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-001019-900-1987-09-25/","001019","004","RIFUGIO GASTALDI","RIFUGIO GASTALDI","ITALIA","7.14333","45.29806","2659","N","","NPRTV","1987-09-26","","TO","BALME","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-001019-900/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-001019-901-2006-09-28/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-001019-901-000TERMA-2006-09-28/","TERMA","2006-09-28","2018-04-17","0.0","0.0","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-001019-901-2006-09-28/","001019","S4101","BALME","FRAZIONE CORNETTI","ITALIA","7.22194","45.3025","1410","ENE","","PTV","2006-09-29","","TO","BALME","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-001019-901/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-001019-901-2006-09-28/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-001019-901-000TERMA-2018-04-18/","TERMA","2018-04-18","","0.0","3.0","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-001019-901-2006-09-28/","001019","S4101","BALME","FRAZIONE CORNETTI","ITALIA","7.22194","45.3025","1410","ENE","","PTV","2006-09-29","","TO","BALME","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-001019-901/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-001022-900-1990-12-06/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-001022-900-000TERMA-1990-12-06/","TERMA","1990-12-06","","0.0","9.25","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-001022-900-1990-12-06/","001022","152","PRERICHARD","PRERICHARD","ITALIA","6.71639","45.075","1290","WSW","","BHNPRTV","1990-12-06","","TO","BARDONECCHIA","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-001022-900/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-001022-901-1990-11-09/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-001022-901-000TERMA-1990-11-09/","TERMA","1990-11-09","2005-08-30","0.0","9.5","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-001022-901-1990-11-09/","001022","011","CAMINI FREJUS","CAMINI FREJUS","ITALIA","6.68861","45.11722","1740","WSW","","BHNPRTV","1990-11-09","2005-08-30","TO","BARDONECCHIA","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-001022-901/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-001022-902-2002-10-10/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-001022-902-000TERMA-2002-10-10/","TERMA","2002-10-10","2010-07-22","0.0","0.0","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-001022-902-2002-10-10/","001022","S2895","BARDONECCHIA MELEZET","MELEZET","ITALIA","6.68583","45.045","1791","NW","","GHPRTV","2002-10-11","2010-07-22","TO","BARDONECCHIA","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-001022-902/"
